BC Sale Price,Wall Material,Roof Material,Basement,Central Air Conditioning,Age,Bedrooms,Building Square Feet,Full Baths,Garage Size,Half Baths,Land Acre,Tract Median Income
1.9183503419072274,Masonry,Tar + Gravel,Slab,Central A/C,23,3,1.826,1,1.0,1,0.015679522,36.927
1.935111431547695,Masonry,Tar + Gravel,Slab,Central A/C,6,4,2.134,3,2.0,1,0.030394858,58.542
1.9215535459447264,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.021763085,99.44
1.9238613012373118,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.017332415,99.44
1.9279250029843553,Masonry,Tar + Gravel,Slab,Central A/C,23,4,2.641,2,2.0,2,0.024081726,36.927
1.9357838700932064,Masonry,Shingle + Asphalt,Full,Central A/C,21,2,1.57,2,1.0,0,0.030325987,122.479
1.9206011554432783,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.456,2,2.0,1,0.018158861,99.44
1.9252042407993235,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.020454545,99.44
1.9131255514473862,Masonry,Shingle + Asphalt,Slab,Central A/C,25,3,1.951,3,1.0,0,0.018549128,132.222
1.9218475674212747,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.026078972,99.44
1.9357838700932064,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.953,3,2.0,1,0.027089073,158.375
1.9525287336722459,Masonry,Tar + Gravel,Full,Central A/C,18,4,3.951,4,2.0,1,0.068870523,148.616
1.944864025535096,Masonry,Shingle + Asphalt,Full,Central A/C,24,3,3.448,3,2.5,1,0.057392103,148.616
1.9267256694552688,Masonry,Tar + Gravel,Slab,Central A/C,31,3,1.616,2,1.0,1,0.042033976,148.616
1.9357838700932064,Frame,Shingle + Asphalt,Full,Central A/C,24,3,2.126,2,2.0,1,0.074609734,122.479
